Gridpoint,X_m,Y_m,Z_m,X_disp_mm,Y_disp_mm,Z_disp_mm,XY_disp_mm,XYZ_disp_mm
17194,569670.8145,5209327.748,371.46,5.53846E-21,7.91307E-21,0.000157739,9.65874E-21,0.000157739
17206,569666.0062,5209331.314,370.97,5.95894E-05,-4.17074E-05,0.000151201,7.27352E-05,0.000167786
17218,569668.5102,5209334.771,371.01,-1.72632E-05,-0.000123818,0.000167253,0.000125016,0.000208812
17230,569673.318,5209331.175,371.51,-5.72798E-05,-8.18623E-05,0.000171036,9.9912E-05,0.00019808
17242,569671.0137,5209338.198,371.06,-8.67842E-05,-0.000198128,0.000161082,0.000216301,0.000269692
17254,569675.822,5209334.632,371.55,-0.000116749,-0.000166854,0.000161245,0.000203643,0.000259751
17266,569673.5171,5209341.625,371.1,-0.000141728,-0.000259841,0.000222848,0.000295981,0.000370494
17278,569678.3255,5209338.059,371.6,-0.000170923,-0.000244277,0.000217516,0.000298137,0.000369052
17290,569676.0212,5209345.082,371.15,-0.000219727,-0.000350107,0.00020523,0.000413346,0.000461491
17302,569680.829,5209341.485,371.64,-0.000242349,-0.000346358,0.000209616,0.000422726,0.000471843
17314,569678.5247,5209348.508,371.19,-0.000271528,-0.000435698,0.000247117,0.000513381,0.00056976
17326,569683.333,5209344.942,371.69,-0.0002942,-0.00042046,0.000240242,0.000513167,0.000566618
17338,569681.0281,5209351.935,371.24,-0.000310254,-0.000518253,0.00027739,0.000604023,0.000664672
17350,569685.8365,5209348.369,371.73,-0.000345146,-0.000493271,0.000274415,0.000602032,0.000661624
17362,569683.5322,5209355.392,371.29,-0.000339524,-0.000603573,0.000306526,0.000692515,0.000757321
17374,569688.3399,5209351.796,371.78,-0.000388659,-0.000555459,0.000301516,0.000677931,0.000741958
17386,569686.0356,5209358.819,371.34,-0.000349531,-0.000668396,0.000322242,0.000754271,0.000820223
17398,569690.844,5209355.253,371.82,-0.000428081,-0.000611799,0.000312597,0.000746694,0.000809487
17410,569688.5391,5209362.246,371.39,-0.000348061,-0.00073385,0.000347299,0.000812208,0.000883345
17422,569693.3474,5209358.679,371.87,-0.000456216,-0.000652009,0.000338652,0.000795769,0.000864832
17434,569691.0431,5209365.703,371.41,-0.000326705,-0.000787905,0.000382701,0.000852954,0.000934875
17446,569695.8509,5209362.106,371.89,-0.000474421,-0.000678027,0.000368829,0.000827524,0.000905998
17458,569693.5466,5209369.129,371.42,-0.000300255,-0.000837791,0.000394829,0.000889971,0.000973621
17470,569698.3549,5209365.563,371.91,-0.000483262,-0.000690662,0.000382496,0.000842945,0.000925667
17482,569696.0501,5209372.556,371.44,-0.000254951,-0.000865109,0.000426689,0.000901895,0.000997736
17494,569700.8584,5209368.99,371.93,-0.000478612,-0.000684016,0.000416951,0.000834834,0.000933164
17506,569698.5541,5209376.013,371.46,-0.000190748,-0.000874731,0.000482745,0.000895287,0.001017144
17518,569703.3619,5209372.417,371.94,-0.000469798,-0.00067142,0.000474682,0.000819461,0.000947016
17530,569701.0576,5209379.44,371.5,-0.000144132,-0.000859949,0.000499844,0.000871944,0.001005052
17542,569705.8659,5209375.874,371.96,-0.000437127,-0.000624727,0.000480936,0.000762473,0.000901479
17554,569703.561,5209382.866,371.54,-8.75923E-05,-0.000838786,0.000544315,0.000843347,0.00100375
17566,569708.3694,5209379.3,371.98,-0.000400361,-0.000572183,0.000524749,0.000698343,0.000873524
17578,569706.0651,5209386.324,371.58,-2.17684E-05,-0.000790758,0.000574765,0.000791057,0.000977817
17590,569710.8728,5209382.727,372.01,-0.00035253,-0.000503825,0.000561551,0.000614912,0.00083274
17602,569708.5685,5209389.75,371.6,4.47602E-05,-0.000745358,0.000606723,0.000746701,0.00096212
17614,569713.3769,5209386.184,372.03,-0.00030544,-0.000436525,0.000588423,0.000532774,0.000793782
17626,569711.072,5209393.177,371.61,0.000111933,-0.000687864,0.000628122,0.000696911,0.000938202
17638,569715.8803,5209389.611,372.05,-0.000259594,-0.000371003,0.000628822,0.000452805,0.000774887
17650,569713.576,5209396.634,371.63,0.000172895,-0.000614958,0.000645008,0.000638801,0.000907801
17662,569718.3838,5209393.037,372.06,-0.000211836,-0.000302748,0.000646533,0.000369501,0.000744672
17674,569716.0795,5209400.061,371.64,0.0002274,-0.000556336,0.000665676,0.000601016,0.000896853
17686,569720.8878,5209396.495,372.08,-0.000166874,-0.00023849,0.000664213,0.000291075,0.000725192
17698,569718.583,5209403.487,371.66,0.000266432,-0.000499813,0.000684942,0.000566391,0.000888788
17710,569723.3913,5209399.921,372.09,-0.000121462,-0.00017359,0.000678144,0.000211864,0.000710469
17722,569721.087,5209406.944,371.7,0.000297892,-0.000424886,0.000704613,0.00051891,0.00087507
17734,569725.8948,5209403.348,372.11,-8.49462E-05,-0.000121402,0.000697047,0.00014817,0.000712621
17746,569723.5905,5209410.371,371.73,0.000322682,-0.000352368,0.000698297,0.000477794,0.000846112
17758,569728.3988,5209406.805,372.12,-5.94528E-05,-8.4968E-05,0.0006981,0.000103702,0.000705761
17770,569726.0939,5209413.798,371.75,0.000347225,-0.000296387,0.000692406,0.00045652,0.000829359
17782,569730.9023,5209410.232,372.14,-2.66747E-05,-3.81226E-05,0.00069506,4.65282E-05,0.000696616
17794,569728.598,5209417.255,371.75,0.000359955,-0.000248027,0.000694333,0.000437132,0.000820478
17806,569733.4057,5209413.658,372.14,-1.10034E-05,-1.57257E-05,0.000690487,1.9193E-05,0.000690754
17818,569731.1014,5209420.681,371.75,0.000375113,-0.000211984,0.000690031,0.000430867,0.000813505
17830,569735.9098,5209417.115,372.14,1.25442E-05,1.79277E-05,0.000678587,2.18806E-05,0.00067894
17842,569733.6049,5209424.108,371.75,0.000380186,-0.000173118,0.000659955,0.000417746,0.000781058
17854,569738.4132,5209420.542,372.14,2.10509E-05,3.00853E-05,0.000654662,3.67188E-05,0.000655691
17866,569736.1089,5209427.565,371.75,0.000384988,-0.000150155,0.000645791,0.000413234,0.000766687
